mean,std,gene_subset
0.9101086690782305,0.00017480449231416229,ENSG00000197728;ENSG00000034510;ENSG00000244734;ENSG00000205542;ENSG00000166710;ENSG00000019582;ENSG00000109475;ENSG00000161911;ENSG00000169442
0.9084011121915243,0.004845314945334245,ENSG00000197728;ENSG00000034510;ENSG00000244734;ENSG00000205542;ENSG00000166710;ENSG00000019582;ENSG00000109475;ENSG00000161911;ENSG00000169442;ENSG00000125347
0.9045801416539218,0.0002965102852686696,ENSG00000197728;ENSG00000034510;ENSG00000244734;ENSG00000205542;ENSG00000166710;ENSG00000019582;ENSG00000109475;ENSG00000161911
0.9010284290576953,4.449089879132728e-05,ENSG00000197728;ENSG00000034510;ENSG00000244734;ENSG00000205542;ENSG00000166710;ENSG00000019582;ENSG00000109475
0.8907001972836017,0.002134291301357838,ENSG00000197728;ENSG00000034510;ENSG00000244734;ENSG00000205542;ENSG00000166710;ENSG00000019582
0.8773786653118579,0.00063660016624012,ENSG00000197728;ENSG00000034510;ENSG00000244734;ENSG00000205542;ENSG00000166710
0.8613450688380412,0.002154611958158692,ENSG00000197728;ENSG00000034510;ENSG00000244734;ENSG00000205542
0.845983152061865,0.00027382256297925345,ENSG00000197728;ENSG00000034510;ENSG00000244734
0.825347138624502,0.001977790302897131,ENSG00000197728;ENSG00000034510
0.7347288017193006,0.0004595453407708061,ENSG00000197728
