gene_name,index feature,mutual information
ENSG00000197728,20963,0.2392474208851741
ENSG00000034510,3969,0.19316089267455783
ENSG00000100911,22846,0.15526837608542227
ENSG00000169442,562,0.13688099905236517
ENSG00000092010,22843,0.13596793674312246
ENSG00000160932,15642,0.13495763443241324
ENSG00000205542,13422,0.13359072350292087
ENSG00000163736,7712,0.12844711902912836
ENSG00000163737,7711,0.12201679051135525
ENSG00000244734,17154,0.11766937676583603
ENSG00000237541,10698,0.11221042272368831
ENSG00000166710,24283,0.1088655119742019
ENSG00000125347,9485,0.10504713826047565
ENSG00000101335,29616,0.10482114718904403
ENSG00000019582,9817,0.1041390437415835
ENSG00000171223,30571,0.10279492983602706
ENSG00000109475,7967,0.10174913321097748
ENSG00000172183,24881,0.10027944771321906
ENSG00000166091,22819,0.09737693563921404
ENSG00000161911,10841,0.0968949722356851
ENSG00000126709,598,0.09651148189838421
ENSG00000140264,24268,0.09594576051781042
ENSG00000198918,14096,0.09571833068487222
ENSG00000187608,28,0.09561753760713593
ENSG00000154146,18770,0.09551257671558688
ENSG00000158710,2140,0.09488851032566006
ENSG00000156482,15309,0.09452863222929644
ENSG00000172757,18022,0.09345030594272088
ENSG00000145592,8832,0.09287214388683941
ENSG00000127920,12564,0.09271399579745221
ENSG00000005961,27711,0.09268872236580268
ENSG00000233927,30393,0.0925038809731307
ENSG00000110700,17350,0.09234442475645929
ENSG00000161016,15733,0.09220099997892972
ENSG00000265972,1730,0.08951147306027994
ENSG00000167460,30684,0.08869412136616071
ENSG00000171858,29959,0.0875380469019213
ENSG00000132475,28257,0.08737850053492463
ENSG00000142669,560,0.08688061710148269
ENSG00000081237,2531,0.0863331690358439
ENSG00000137959,1269,0.08580661070096313
ENSG00000142676,494,0.08528968901306913
ENSG00000142937,919,0.08419503667066491
ENSG00000169704,6495,0.08418331094522571
ENSG00000188846,5734,0.08386528234595583
ENSG00000145287,7800,0.08242492301449184
ENSG00000144713,5552,0.08183228727098762
ENSG00000075624,11895,0.08168330891816697
ENSG00000137076,16021,0.07962643138426354
ENSG00000164587,9818,0.07899941465468618
ENSG00000251562,18003,0.07879100634697908
ENSG00000132530,26796,0.07800915740275301
ENSG00000165682,20333,0.07733567285081153
ENSG00000240065,10705,0.07695546884930143
ENSG00000105372,31311,0.07689447654361148
ENSG00000173821,28369,0.07660761358063053
ENSG00000114942,5008,0.07654662053670498
ENSG00000108107,31899,0.07625829395200118
ENSG00000124491,10254,0.07589798522554324
ENSG00000231500,10724,0.07588925661184014
ENSG00000149781,17932,0.07584676571975082
ENSG00000156508,11093,0.07543624074061818
ENSG00000168497,4896,0.07506647366800195
ENSG00000198755,10769,0.07478291016894688
ENSG00000163131,1815,0.07453189528520499
ENSG00000167526,26574,0.07366810545263427
ENSG00000120885,14729,0.0724236694390255
ENSG00000187514,5279,0.07214805322688769
ENSG00000186468,9156,0.07190152946952012
ENSG00000134419,25504,0.07160201583311103
ENSG00000163682,7477,0.07142767456139623
ENSG00000229117,20968,0.07102688538690254
ENSG00000255823,17289,0.07067426524888779
ENSG00000108654,28098,0.07030936175777806
ENSG00000122406,1378,0.07015375708382234
ENSG00000063177,31562,0.06963551847183136
ENSG00000096384,10931,0.06909684852740208
ENSG00000171863,3211,0.06902234838526515
ENSG00000105329,31285,0.06860188045960766
ENSG00000108298,27479,0.0685322643574134
ENSG00000112306,11452,0.06828306009301209
ENSG00000105640,30764,0.06813573264643465
ENSG00000116251,155,0.06775296218697546
ENSG00000161970,26907,0.06763819659093886
ENSG00000051523,26537,0.06750120438082796
ENSG00000228474,3446,0.06729519710089873
ENSG00000105193,31224,0.06710782797138079
ENSG00000213741,23033,0.06666492556331581
ENSG00000115268,30125,0.06662175839955084
ENSG00000113140,9842,0.06621892185703929
ENSG00000111640,20221,0.06610180383819775
ENSG00000197958,16667,0.06577574902743631
ENSG00000231389,10713,0.0657664970613327
ENSG00000138326,19537,0.06569686175452377
ENSG00000204287,10692,0.06550059341711867
ENSG00000130255,30283,0.0654113856063046
ENSG00000145425,8233,0.06476992650552357
ENSG00000115053,5275,0.06471412243084779
ENSG00000147403,14376,0.06466315795313936
ENSG00000196154,1934,0.06459707076998425
ENSG00000137154,15863,0.0643279859857494
ENSG00000124614,10753,0.06422354126820758
ENSG00000160255,33448,0.06417631354300211
ENSG00000130522,30782,0.06414254845590178
ENSG00000104267,15202,0.06394310177819015
ENSG00000118181,18679,0.06286128759573859
ENSG00000114391,6254,0.0627292546925986
ENSG00000101162,29920,0.061847401342281526
ENSG00000162654,1347,0.06175913365512392
ENSG00000198502,10693,0.061754754152556574
ENSG00000092841,20975,0.06157535624366964
ENSG00000132274,17179,0.06074175941716843
ENSG00000133639,21314,0.06065293181040915
ENSG00000147604,15105,0.0604273029371605
ENSG00000148908,19970,0.06005796273780448
ENSG00000100316,32768,0.05999217502603014
ENSG00000143947,3710,0.05986754124220453
ENSG00000167468,30106,0.05968504914273671
ENSG00000167996,17849,0.05936863628331546
ENSG00000168028,5728,0.05932652967162313
ENSG00000188404,2300,0.059297910740446214
ENSG00000087460,29915,0.059294891469515366
ENSG00000115415,4889,0.05888101492766661
ENSG00000196531,21001,0.058819178749247275
ENSG00000127528,30694,0.05873991633847596
ENSG00000177697,17030,0.05864199845812916
ENSG00000140988,25196,0.05856985873428258
ENSG00000157601,33344,0.05853257529490613
ENSG00000149273,18269,0.05814945898633176
ENSG00000089009,21547,0.05755535456267901
ENSG00000177954,1961,0.05751646515848473
ENSG00000002549,7371,0.057164389608853325
ENSG00000198242,27215,0.056902978199411675
ENSG00000154451,1349,0.056787445663650495
ENSG00000119917,19638,0.05649386508238548
ENSG00000177600,17026,0.056470026288889155
ENSG00000130303,30741,0.05601079654038661
ENSG00000117228,1344,0.055720178488006256
ENSG00000152518,3611,0.055345724452445164
ENSG00000083845,32037,0.055198279503863024
ENSG00000149806,17988,0.05511455297398275
ENSG00000136942,16640,0.05480750827417896
ENSG00000055332,3553,0.05441229906236614
